code_barrios,name_barrios,noise_pollution,noise_units,pm_10,pm_units,carbon_monoxide,co_units,rainfall,rain_units,solar_radiation,solar_units,temperature,temp_units,trees_density,trees_units,mpi_index
101,Carmenes,83.89,58.77,92.74,33.88,122.85,0.41,97.35,4.39,100.55,200.65,106.9,16.31,89.06,3535.45,100.74
146,Vinateros,93.79,60.55,100.16,36.04,91.51,0.31,102.1,4.73,119.52,206.95,93.56,15.04,88.55,3595.9,99.56
103,Lucero,81.28,58.3,83.73,31.26,97.77,0.33,96.09,4.3,101.54,200.98,101.12,15.76,84.29,4105.48,93.1
142,Horcajo,96.91,61.11,98.75,35.63,91.51,0.31,100.98,4.65,119.0,206.78,88.21,14.53,92.73,3097.52,99.34
21,Imperial,97.91,61.29,104.8,37.39,116.58,0.39,98.89,4.5,98.05,199.82,108.47,16.46,99.0,2349.41,103.87
12,Embajadores,111.92,63.81,101.84,36.53,119.72,0.4,100.7,4.63,96.07,199.16,110.99,16.7,105.61,1560.25,107.3
143,Marroquina,95.29,60.82,99.75,35.92,91.51,0.31,101.12,4.66,116.9,206.08,95.35,15.21,96.57,2639.68,100.19
36,Nino Jesus,108.31,63.16,95.25,34.61,91.51,0.31,101.26,4.67,99.26,200.22,109.31,16.54,101.89,2005.01,101.38
102,Puerta del Angel,87.06,59.34,92.29,33.75,110.31,0.37,96.65,4.34,100.19,200.53,104.59,16.09,104.51,1692.24,100.01
144,Media Legua,99.85,61.64,100.13,36.03,91.51,0.31,100.42,4.61,108.14,203.17,104.38,16.07,97.15,2570.04,100.5
13,Cortes,117.71,64.85,101.02,36.29,122.85,0.41,101.12,4.66,96.64,199.35,111.3,16.73,104.43,1701.38,108.74
16,Sol,104.86,62.54,101.88,36.54,132.26,0.44,100.56,4.62,97.06,199.49,111.83,16.78,108.83,1175.89,109.45
33,Estrella,105.41,62.64,100.43,36.12,91.51,0.31,100.28,4.6,103.11,201.5,107.74,16.39,86.44,3848.49,99.86
35,Jeronimos,120.04,65.27,92.19,33.72,94.64,0.32,101.54,4.69,97.12,199.51,109.63,16.57,111.57,849.56,104.82
34,Ibiza,113.76,64.14,109.71,38.82,88.37,0.3,100.28,4.6,100.61,200.67,109.0,16.51,102.01,1989.6,104.08
11,Palacio,104.25,62.43,105.42,37.57,122.85,0.41,99.3,4.53,97.51,199.64,108.47,16.46,102.5,1932.18,106.42
204,Arcos,96.74,61.08,96.14,34.87,91.51,0.31,95.95,4.29,109.55,203.64,95.77,15.25,89.93,3432.23,96.93
42,Goya,112.81,63.97,116.11,40.68,88.37,0.3,99.44,4.54,101.18,200.86,109.0,16.51,97.37,2544.16,104.38
203,Amposta,96.52,61.04,95.42,34.66,91.51,0.31,94.28,4.17,106.93,202.77,96.61,15.33,78.74,4767.5,95.03
14,Justicia,118.6,65.01,104.25,37.23,119.72,0.4,101.54,4.69,97.63,199.68,113.3,16.92,103.0,1871.47,109.01
41,Recoletos,122.1,65.64,124.73,43.19,88.37,0.3,100.98,4.65,98.93,200.11,109.94,16.6,92.27,3153.08,107.23
15,Universidad,108.03,63.11,106.24,37.81,125.99,0.42,100.84,4.64,97.12,199.51,109.42,16.55,105.56,1566.22,108.38
43,Fuente del Berro,106.69,62.87,103.39,36.98,91.51,0.31,97.91,4.43,103.74,201.71,105.85,16.21,100.03,2226.43,101.58
