district_id,district,street_type,street_details,location,location_id,green_area_ZV_road_trees_AV,specie,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Gonzalo Jiménez de Quesada,32,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Gran Vía de San Francisco,4,AV,Platanus x hybrida,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Hernán Cortés,5,AV,Fraxinus angustifolia,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Huertas,18,AV,Pyrus calleryana,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Humilladero,11,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Imperial,8,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Infantas,12,AV,Sorbus terminalis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Isabel II,8,AV,Cercis siliquastrum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Jacinto Benavente,1,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Lavapiés,45,AV,Pyrus calleryana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Libertad,8,AV,Cercis siliquastrum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Loreto y Chicote,15,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Madera,12,AV,Ligustrum japonicum,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Marqués de Cubas,1,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Marqués de Monasterio,1,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Marqués de Santa Ana,4,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Mayor,44,AV,Arbutus unedo,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Mayor,1,AV,Cercis siliquastrum,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Mesón de Paredes,57,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Miguel Servet,17,AV,Prunus cerasifera pissardii,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Minas,18,AV,Pyrus calleryana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Mira el Sol,21,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Molino de Viento,5,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Montera,27,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Nao,6,AV,Hibiscus syriacus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Palma,18,AV,Ilex aquifolium 'Nellie Stevens',3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Paz,13,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Pizarro,26,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Pontejos,1,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Prado,1,AV,Prunus cerasifera pissardii,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Princesa (Centro),10,AV,Platanus x hybrida,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Príncipe,10,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Puerta Cerrada,4,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Regueros,2,AV,Laurus nobilis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Reina,25,AV,Pyrus calleryana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Relatores,17,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Ribera de Curtidores (Centro),17,AV,Platanus x hybrida,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Sagasta (Centro),30,AV,Platanus x hybrida,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Salvador,4,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Agustín,1,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Andrés,19,AV,Hibiscus syriacus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Bernardo (Centro),87,AV,Sophora japonica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Cristóbal,4,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Gregorio,10,AV,Hibiscus syriacus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Mateo,25,AV,Cercis siliquastrum,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Sebastián,1,AV,Hibiscus syriacus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Cuesta,,San Vicente (Centro),SN,AV,Platanus x hybrida,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,San Vicente Ferrer,4,AV,Photinia fraserii,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Sánchez Bustillo,7,AV,Liquidambar styraciflua,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Santa Ana,2,AV,Ligustrum japonicum 'Variegata',3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Santa Ana,12,AV,Platanus x hybrida,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Santa Clara,2,AV,Crataegus monogyna,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Santa Cruz,5,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Santa Cruz de Marcenado,21,AV,Fraxinus ornus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Santa Isabel,45,AV,Albizia julibrissin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Santa Isabel,47,AV,Platanus x hybrida,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Santiago,2,AV,Prunus cerasifera pissardii,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Ronda,,Segovia (Centro),39,AV,Platanus x hybrida,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Ronda,,Segovia (Centro),3,AV,Sophora japonica,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Serrano Jover,6,AV,Celtis australis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Toledo (Centro),18,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Ronda,,Toledo (Centro),6,AV,Sophora japonica,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Valencia,8,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Ronda,,Valencia (Centro),2,AV,Ligustrum japonicum 'Variegata',2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
