noise,station,longitude,latitude
67.01969696969698,1,-3.6919263999999994,40.42262
68.77457627118643,2,-3.6914896,40.4091095
62.006267806267786,3,-3.7031662000000005,40.4192091
63.18284023668641,4,-3.7122567,40.423882299999995
60.16685393258426,5,-3.7115364,40.47823220000001
69.9533141210375,6,-3.6907851000000003,40.4375685
65.74161676646702,8,-3.6823157999999996,40.4215533
63.996726190476174,10,-3.7071302999999998,40.445543900000004
66.7323943661972,11,-3.6773491000000003,40.4514734
62.77408450704222,12,-3.6685709,40.428810799999994
58.34550561797753,13,-3.6515286,40.38814779999999
63.34576271186446,14,-3.7187678999999996,40.3850336
60.19830985915491,16,-3.6392422,40.440045700000006
56.80028089887644,17,-3.7133167,40.347147
56.933903133903144,18,-3.7318356,40.3947825
59.137082066869276,19,-3.7418959000000003,40.4078624
60.3892957746479,20,-3.6453104,40.407951700000005
47.94645892351275,24,-3.7473445,40.419357700000006
65.59410112359546,25,-3.6025322,40.3790498
60.0655462184874,26,-3.5802388999999994,40.4593153
60.84310344827583,27,-3.5800258,40.476917900000004
66.00509915014165,28,-3.7778375,40.3751984
56.25098039215689,29,-3.7746101000000003,40.5180701
58.86292134831458,30,-3.6163407,40.4607255
61.3811940298508,31,-3.6605172999999995,40.494201200000006
54.35722379603401,47,-3.6868138,40.3980991
61.6036516853933,48,-3.6903729,40.439890399999996
65.05196629213481,50,-3.6887449,40.4655841
59.105337078651694,54,-3.6121394000000002,40.37301179999999
55.39916434540389,55,-3.5805648999999997,40.462362799999994
56.38235294117645,86,-3.6897307999999995,40.5005477
