CODBAR,NOMBRE,Interpolate,air_qualityInterpolate,carbon_monoxideInterpolate,rainfallInterpolate,solar_radiationInterpolate,temperatureInterpolate,trees_densitytrees_density
"154",Concepci�n,61.5478995100,35.1544448850,0.3028061605,3.8996023312,201.5930120100,15.6012448810,2940.58298127195
"075",Rios Rosas,64.5510231130,36.1656155590,0.3641462393,4.9838928032,199.7064609800,16.6078301600,1701.76954465206
"076",Vallehermoso,63.6455830570,37.3655517470,0.3748031253,4.9148230166,199.0720226100,16.2328447750,1707.33392087455
"155",San Pascual,62.1832308020,35.4788253990,0.3070315512,3.7643975095,201.8705489700,15.4877297000,1616.46868835448
"207",Canillejas,60.1788679540,32.0455128620,0.3098194475,3.4801636789,197.9328502600,15.3542348460,1701.26121634178
"205",Rosas,60.4995295450,34.6879925760,0.3159439248,4.0431561646,201.8198094600,15.3842217760,535.932447021195
"208",Salvador,60.5970369420,33.4239645920,0.3004607162,3.5752990472,199.2646570800,15.3501978130,2228.32117948217
"206",Rejas,59.4800357290,35.4572381970,0.3189037907,3.9516261963,200.3610672600,15.4291805370,1062.28977553798
"091",Casa de Campo,57.3303032070,29.8814567170,0.2950090684,4.2266294739,200.1974229100,15.2261781660,335.117978710342
"051",El Viso,64.8079257340,36.5585771770,0.3384128322,4.7048406404,200.5793907600,16.3564820100,2594.25404234527
"053",Ciudad Jard�n,65.3270701360,38.1200596790,0.3258094936,4.0926576354,201.6082480700,15.8322331340,2621.7463911202
"052",Prosperidad,64.1257788090,37.2243560900,0.3211589717,4.0201259883,201.6680267300,15.8414798560,2824.50925737436
"156",San Juan Bautista,62.7568028240,35.7175059850,0.3112908266,3.4078067638,202.4292250100,14.9708814890,3439.38028242762
"062",Cuatro Caminos,64.0785820180,36.6190528870,0.3508943295,5.3369954502,199.6421523000,16.2237515620,2857.53717518215
"161",Palomas,59.6435831330,29.1064139960,0.3083212963,3.1732557698,196.0308030300,15.3039905760,2512.47232369658
"061",Bellas Vistas,63.6124312460,37.1323457130,0.3552207118,5.4826222027,198.9693588800,16.1116842570,1150.26363157415
