name_barrios,noise_pollution,pm_10,carbon_monoxide,rainfall,solar_radiation,temperature,trees_density,mpi_index
Rios Rosas,116.04,100.61,107.18,105.59,97.72,110.05,104.43,106.29
Vallehermoso,111.03,104.73,110.31,104.61,95.79,106.06,104.38,105.51
San Pascual,102.86,98.24,91.51,88.56,104.22,98.29,105.14,98.81
Canillejas,91.73,86.45,91.51,84.65,92.36,96.82,104.43,93.03
Rosas,93.51,95.52,94.64,92.46,104.07,97.13,114.2,99.4
Salvador,94.07,91.16,88.37,86.04,96.37,96.82,100.01,93.53
Rejas,87.84,98.17,94.64,91.21,99.68,97.66,109.78,97.5
Casa de Campo,75.88,78.99,88.37,95.12,99.2,95.56,115.88,94.66
El Viso,117.48,101.95,100.91,101.68,100.34,107.42,96.95,104.26
Ciudad Jardin,120.38,107.31,97.77,93.16,103.44,101.86,96.72,103.73
Prosperidad,113.7,104.22,94.64,92.19,103.62,101.96,95.02,101.31
San Juan Bautista,106.08,99.06,91.51,83.67,105.91,92.83,89.87,96.31
Cuatro Caminos,113.42,102.15,104.04,110.61,97.51,105.95,94.74,104.49
Palomas,88.73,76.34,91.51,80.32,86.64,96.29,97.63,88.91
Bellas Vistas,110.81,103.91,107.18,112.56,95.49,104.8,109.05,106.56
Hispanoamerica,118.6,105.83,97.77,95.81,102.9,99.65,94.85,102.86
Piovera,95.13,87.51,88.37,82.83,95.7,94.72,104.96,93.31
Colina,108.59,99.61,91.51,79.9,107.59,86.11,96.37,96.86
Berruguete,108.81,101.23,100.91,119.96,95.1,101.33,113.89,106.61
Alameda de Osuna,84.06,97.79,94.64,85.76,92.42,97.13,107.68,94.89
Castillejos,114.48,102.12,100.91,115.36,97.57,102.28,97.52,104.86
Aravaca,90.84,87.1,94.64,99.58,96.67,95.14,106.06,96.11
Atalaya,109.14,99.27,91.51,81.86,107.2,87.58,93.17,96.73
Nueva Espana,115.2,102.7,97.77,98.19,102.87,97.66,103.55,102.93
Canillas,99.74,91.19,91.51,81.16,102.15,89.36,102.91,94.67
Corralejos,86.56,80.71,91.51,81.16,87.12,96.4,114.14,92.55
Valdezarza,101.97,98.92,100.91,116.47,93.03,91.67,101.98,101.36
